sample_accession,library_source,toplevel_rank,tax_id,study_accession,run_accession,secondary_sample_accession,experiment_accession,scientific_name,instrument_platform,instrument_model,library_layout,library_strategy,library_selection,read_count,base_count,fastq_ftp,sra_ftp,class_id,class_name,fastq_filename
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033693,DRS043412,DRX030413,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2000,PAIRED,WGS,size fractionation,97073008.0,9704870011.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033693/DRR033693_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033693,3398,Magnoliopsida,DRR033693_2.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033694,DRS043412,DRX030414,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,size fractionation,93213618.0,9317906783.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033694/DRR033694_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033694,3398,Magnoliopsida,DRR033694_1.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033694,DRS043412,DRX030414,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,size fractionation,93213618.0,9317906783.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033694/DRR033694_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033694,3398,Magnoliopsida,DRR033694_2.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033695,DRS043412,DRX030415,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,size fractionation,100356625.0,10031693291.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033695/DRR033695_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033695,3398,Magnoliopsida,DRR033695_1.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033695,DRS043412,DRX030415,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,size fractionation,100356625.0,10031693291.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033695/DRR033695_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033695,3398,Magnoliopsida,DRR033695_2.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033696,DRS043412,DRX030416,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,size fractionation,75965890.0,7594260338.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033696/DRR033696_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033696,3398,Magnoliopsida,DRR033696_1.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033696,DRS043412,DRX030416,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,size fractionation,75965890.0,7594260338.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033696/DRR033696_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033696,3398,Magnoliopsida,DRR033696_2.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033697,DRS043412,DRX030417,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,size fractionation,99347098.0,9930712737.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033697/DRR033697_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033697,3398,Magnoliopsida,DRR033697_1.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033697,DRS043412,DRX030417,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,size fractionation,99347098.0,9930712737.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033697/DRR033697_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033697,3398,Magnoliopsida,DRR033697_2.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033698,DRS043412,DRX030418,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,size fractionation,91147394.0,9111526381.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033698/DRR033698_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033698,3398,Magnoliopsida,DRR033698_1.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033698,DRS043412,DRX030418,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,size fractionation,91147394.0,9111526381.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033698/DRR033698_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033698,3398,Magnoliopsida,DRR033698_2.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033699,DRS043412,DRX030419,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,size fractionation,113370317.0,11333374350.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033699/DRR033699_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033699,3398,Magnoliopsida,DRR033699_1.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033699,DRS043412,DRX030419,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,size fractionation,113370317.0,11333374350.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033699/DRR033699_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033699,3398,Magnoliopsida,DRR033699_2.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033700,DRS043412,DRX030420,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,size fractionation,110254532.0,11021698217.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033700/DRR033700_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033700,3398,Magnoliopsida,DRR033700_1.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033700,DRS043412,DRX030420,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,size fractionation,110254532.0,11021698217.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033700/DRR033700_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033700,3398,Magnoliopsida,DRR033700_2.fastq.gz
SAMD00071238,GENOMIC,Eukaryota,165716,PRJDB5448,DRR083749,DRS085964,DRX077580,Actinidia rufa,ILLUMINA,Illumina HiSeq 4000,PAIRED,WGS,RANDOM,4199697.0,1220048202.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR083/DRR083749/DRR083749_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR083/DRR083749,3398,Magnoliopsida,DRR083749_1.fastq.gz
SAMD00071238,GENOMIC,Eukaryota,165716,PRJDB5448,DRR083749,DRS085964,DRX077580,Actinidia rufa,ILLUMINA,Illumina HiSeq 4000,PAIRED,WGS,RANDOM,4199697.0,1220048202.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR083/DRR083749/DRR083749_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR083/DRR083749,3398,Magnoliopsida,DRR083749_2.fastq.gz
SAMD00078044,TRANSCRIPTOMIC,Eukaryota,307507,PRJDB5653,DRR090200,DRS063287,DRX083926,Raphidocelis subcapitata,ILLUMINA,Illumina MiSeq,PAIRED,RNA-Seq,Oligo-dT,1394371.0,527450757.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR090/DRR090200/DRR090200_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR090/DRR090200,3166,Chlorophyceae,DRR090200_1.fastq.gz
SAMD00078044,TRANSCRIPTOMIC,Eukaryota,307507,PRJDB5653,DRR090200,DRS063287,DRX083926,Raphidocelis subcapitata,ILLUMINA,Illumina MiSeq,PAIRED,RNA-Seq,Oligo-dT,1394371.0,527450757.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR090/DRR090200/DRR090200_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR090/DRR090200,3166,Chlorophyceae,DRR090200_2.fastq.gz
SAMD00080316,TRANSCRIPTOMIC,Eukaryota,1932967,PRJDB5764,DRR095964,DRS050166,DRX089460,Pachyrhynchus infernalis,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,RANDOM,12025040.0,2405008000.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR095/DRR095964/DRR095964_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR095/DRR095964,50557,Insecta,DRR095964_1.fastq.gz
SAMD00080316,TRANSCRIPTOMIC,Eukaryota,1932967,PRJDB5764,DRR095964,DRS050166,DRX089460,Pachyrhynchus infernalis,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,RANDOM,12025040.0,2405008000.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR095/DRR095964/DRR095964_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR095/DRR095964,50557,Insecta,DRR095964_2.fastq.gz
SAMD00153200,GENOMIC,Bacteria,386913,PRJDB7717,DRR161222,DRS115468,DRX151847,Mycolicibacter senuensis,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,RANDOM,2128189.0,425637800.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR161/DRR161222/DRR161222_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR161/DRR161222,1760,Actinobacteria,DRR161222_1.fastq.gz
SAMD00153200,GENOMIC,Bacteria,386913,PRJDB7717,DRR161222,DRS115468,DRX151847,Mycolicibacter senuensis,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,RANDOM,2128189.0,425637800.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR161/DRR161222/DRR161222_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR161/DRR161222,1760,Actinobacteria,DRR161222_2.fastq.gz
SAMEA104092016,TRANSCRIPTOMIC,Eukaryota,1250333,PRJEB20959,ERR1990474,ERS1755909,ERX2050362,Micoletzkya masseyi,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,RANDOM,13314777.0,2689584954.0,ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/004/ERR1990474/ERR1990474_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR199/004/ERR1990474,119089,Chromadorea,ERR1990474_1.fastq.gz
SAMEA104092016,TRANSCRIPTOMIC,Eukaryota,1250333,PRJEB20959,ERR1990474,ERS1755909,ERX2050362,Micoletzkya masseyi,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,RANDOM,13314777.0,2689584954.0,ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/004/ERR1990474/ERR1990474_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR199/004/ERR1990474,119089,Chromadorea,ERR1990474_2.fastq.gz
SAMEA104170696,TRANSCRIPTOMIC,Eukaryota,16909,PRJEB21674,ERR2040652,ERS1829714,ERX2099709,Corokia cotoneaster,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,cDNA,7822081.0,1407974580.0,ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/002/ERR2040652/ERR2040652_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR204/002/ERR2040652,3398,Magnoliopsida,ERR2040652_1.fastq.gz
SAMEA104170696,TRANSCRIPTOMIC,Eukaryota,16909,PRJEB21674,ERR2040652,ERS1829714,ERX2099709,Corokia cotoneaster,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,cDNA,7822081.0,1407974580.0,ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/002/ERR2040652/ERR2040652_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR204/002/ERR2040652,3398,Magnoliopsida,ERR2040652_2.fastq.gz
SAMEA104170872,TRANSCRIPTOMIC,Eukaryota,13760,PRJEB21674,ERR2040828,ERS1829890,ERX2099885,Widdringtonia cedarbergensis,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,cDNA,11444387.0,2059989660.0,ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/008/ERR2040828/ERR2040828_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR204/008/ERR2040828,58019,Pinopsida,ERR2040828_1.fastq.gz
SAMEA104170872,TRANSCRIPTOMIC,Eukaryota,13760,PRJEB21674,ERR2040828,ERS1829890,ERX2099885,Widdringtonia cedarbergensis,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,cDNA,11444387.0,2059989660.0,ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/008/ERR2040828/ERR2040828_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR204/008/ERR2040828,58019,Pinopsida,ERR2040828_2.fastq.gz
SAMEA104170915,TRANSCRIPTOMIC,Eukaryota,13840,PRJEB21674,ERR2040871,ERS1829933,ERX2099928,Spinulum annotinum,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,cDNA,14227906.0,2561023080.0,ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/001/ERR2040871/ERR2040871_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR204/001/ERR2040871,1521260,Lycopodiopsida,ERR2040871_1.fastq.gz
SAMEA104170915,TRANSCRIPTOMIC,Eukaryota,13840,PRJEB21674,ERR2040871,ERS1829933,ERX2099928,Spinulum annotinum,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,cDNA,14227906.0,2561023080.0,ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/001/ERR2040871/ERR2040871_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR204/001/ERR2040871,1521260,Lycopodiopsida,ERR2040871_2.fastq.gz
SAMEA104170930,TRANSCRIPTOMIC,Eukaryota,361541,PRJEB21674,ERR2040886,ERS1829948,ERX2099943,Culcita macrocarpa,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,cDNA,10113242.0,1820383560.0,ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/006/ERR2040886/ERR2040886_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR204/006/ERR2040886,241806,Polypodiopsida,ERR2040886_1.fastq.gz
SAMEA104170930,TRANSCRIPTOMIC,Eukaryota,361541,PRJEB21674,ERR2040886,ERS1829948,ERX2099943,Culcita macrocarpa,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,cDNA,10113242.0,1820383560.0,ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/006/ERR2040886/ERR2040886_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR204/006/ERR2040886,241806,Polypodiopsida,ERR2040886_2.fastq.gz
SAMEA104171069,TRANSCRIPTOMIC,Eukaryota,138176,PRJEB21674,ERR2041025,ERS1830087,ERX2100082,Desmochloris halophila,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,cDNA,9080051.0,1634409180.0,ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/005/ERR2041025/ERR2041025_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR204/005/ERR2041025,33103,Ulvophyceae,ERR2041025_1.fastq.gz
